,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
2688,Male Grahovše,Mala Grahovša,Malu Grahovšu,46.1563,15.2386,Savinjska,SI034
2689,Male Kompolje,Mala Kompolja,Malu Kompolju,45.9374,14.8029,Osrednjeslovenska,SI041
2690,Male Lašče,Mala Lašča,Malu Lašču,45.8363,14.6377,Osrednjeslovenska,SI041
2691,Male Lese,Mala Lesa,Malu Lesu,45.9374,14.8029,Osrednjeslovenska,SI041
2692,Male Lipljene,Mala Lipljena,Malu Lipljenu,45.9551,14.6562,Osrednjeslovenska,SI041
2693,Male Loče,Mala Loča,Malu Loču,45.5679,14.2527,Primorsko-notranjska,SI038
2694,Male Pece,Mala Peca,Malu Pecu,45.9374,14.8029,Osrednjeslovenska,SI041
2695,Male Poljane,Mala Poljana,Malu Poljanu,45.9069,15.2914,Jugovzhodna Slovenija,SI037
2696,Male Rebrce,Mala Rebrca,Malu Rebrcu,45.9374,14.8029,Osrednjeslovenska,SI041
2697,Male Rodne,Mala Rodna,Malu Rodnu,46.2314,15.6381,Savinjska,SI034
2698,Male Vinice,Mala Vinica,Malu Vinicu,45.7616,14.6363,Jugovzhodna Slovenija,SI037
2700,Male Vrhe,Mala Vrha,Malu Vrhu,45.9374,14.8029,Osrednjeslovenska,SI041
2701,Male Žablje,Mala Žablja,Malu Žablju,45.8861,13.9097,Goriška,SI043
2702,Malečnik,Malečnika,Malečniku,46.5575,15.6456,Podravska,SI032
2704,Malenska Vas,Malenske Vasa,Malenski Vasu,45.858,15.0876,Jugovzhodna Slovenija,SI037
2706,Mali Ban,Maliv Bana,Malih Banu,45.8389,15.3361,Jugovzhodna Slovenija,SI037
2707,Mali Brebrovnik,Maliv Brebrovnika,Malih Brebrovniku,46.4086,16.1475,Podravska,SI032
2708,Mali Breg,Maliv Brega,Malih Bregu,46.3383,15.4233,Savinjska,SI034
2709,Mali Cerovec,Maliv Cerovca,Malih Cerovcu,45.8,15.1667,Jugovzhodna Slovenija,SI037
2710,Mali Cirnik,Maliv Cirnika,Malih Cirniku,45.9048,15.5922,Posavska,SI036
2711,Mali Cirnik Pri Šentjanžu,Maliv Cirnika Priv Šentjanžua,Malih Cirniku Prih Šentjanžuu,45.9769,15.0897,Jugovzhodna Slovenija,SI037
2712,Mali Dol,Maliv Dola,Malih Dolu,45.8159,13.7507,Obalno-kraška,SI044
2713,Mali Dol,Maliv Dola,Malih Dolu,46.6099,15.6714,Podravska,SI032
2714,Mali Gaber,Maliv Gabera,Malih Gaberu,45.9104,15.0086,Jugovzhodna Slovenija,SI037
2715,Mali Hrib,Maliv Hriba,Malih Hribu,46.2257,14.612,Osrednjeslovenska,SI041
2716,Mali Jelnik,Maliv Jelnika,Malih Jelniku,46.1686,14.6892,Osrednjeslovenska,SI041
2717,Mali Kal,Maliv Kala,Malih Kalu,45.9374,14.8029,Osrednjeslovenska,SI041
2718,Mali Kal,Maliv Kala,Malih Kalu,45.858,15.0876,Jugovzhodna Slovenija,SI037
2719,Mali Kamen,Maliv Kamena,Malih Kamenu,45.95,15.4833,Posavska,SI036
2720,Mali Konec,Maliv Konca,Malih Koncu,45.9551,14.6562,Osrednjeslovenska,SI041
